"11","1101","Madeira-Guaporé"
"11","1102","Leste Rondoniense"
"12","1201","Vale do Juruá"
"12","1202","Vale do Acre"
"13","1301","Norte Amazonense"
"13","1302","Sudoeste Amazonense"
"13","1303","Centro Amazonense"
"13","1304","Sul Amazonense"
"14","1401","Norte de Roraima"
"14","1402","Sul de Roraima"
"15","1501","Baixo Amazonas"
"15","1502","Marajó"
"15","1503","Metropolitana de Belém"
"15","1504","Nordeste Paraense"
"15","1505","Sudoeste Paraense"
"15","1506","Sudeste Paraense"
"16","1601","Norte do Amapá"
"16","1602","Sul do Amapá"
"17","1701","Ocidental do Tocantins"
"17","1702","Oriental do Tocantins"
"21","2101","Norte Maranhense"
"21","2102","Oeste Maranhense"
"21","2103","Centro Maranhense"
"21","2104","Leste Maranhense"
"21","2105","Sul Maranhense"
"22","2201","Norte Piauiense"
"22","2202","Centro-Norte Piauiense"
"22","2203","Sudoeste Piauiense"
"22","2204","Sudeste Piauiense"
"23","2301","Noroeste Cearense"
"23","2302","Norte Cearense"
"23","2303","Metropolitana de Fortaleza"
"23","2304","Sertões Cearenses"
"23","2305","Jaguaribe"
"23","2306","Centro-Sul Cearense"
"23","2307","Sul Cearense"
"24","2401","Oeste Potiguar"
"24","2402","Central Potiguar"
"24","2403","Agreste Potiguar"
"24","2404","Leste Potiguar"
"25","2501","Sertão Paraibano"
"25","2502","Borborema"
"25","2503","Agreste Paraibano"
"25","2504","Mata Paraibana"
"26","2601","Sertão Pernambucano"
"26","2602","São Francisco Pernambucano"
"26","2603","Agreste Pernambucano"
"26","2604","Mata Pernambucana"
"26","2605","Metropolitana de Recife"
"27","2701","Sertão Alagoano"
"27","2702","Agreste Alagoano"
"27","2703","Leste Alagoano"
"28","2801","Sertão Sergipano"
"28","2802","Agreste Sergipano"
"28","2803","Leste Sergipano"
"29","2901","Extremo Oeste Baiano"
"29","2902","Vale São-Franciscano da Bahia"
"29","2903","Centro Norte Baiano"
"29","2904","Nordeste Baiano"
"29","2905","Metropolitana de Salvador"
"29","2906","Centro Sul Baiano"
"29","2907","Sul Baiano"
"31","3101","Noroeste de Minas"
"31","3102","Norte de Minas"
"31","3103","Jequitinhonha"
"31","3104","Vale do Mucuri"
"31","3105","Triângulo Mineiro/Alto Paranaíba"
"31","3106","Central Mineira"
"31","3107","Metropolitana de Belo Horizonte"
"31","3108","Vale do Rio Doce"
"31","3109","Oeste de Minas"
"31","3110","Sul/Sudoeste de Minas"
"31","3111","Campo das Vertentes"
"31","3112","Zona da Mata"
"32","3201","Noroeste Espírito-santense"
"32","3202","Litoral Norte Espírito-santense"
"32","3203","Central Espírito-santense"
"32","3204","Sul Espírito-santense"
"33","3301","Noroeste Fluminense"
"33","3302","Norte Fluminense"
"33","3303","Centro Fluminense"
"33","3304","Baixadas"
"33","3305","Sul Fluminense"
"33","3306","Metropolitana do Rio de Janeiro"
"35","3501","São José do Rio Preto"
"35","3502","Ribeirão Preto"
"35","3503","Araçatuba"
"35","3504","Bauru"
"35","3505","Araraquara"
"35","3506","Piracicaba"
"35","3507","Campinas"
"35","3508","Presidente Prudente"
"35","3509","Marília"
"35","3510","Assis"
"35","3511","Itapetininga"
"35","3512","Macro Metropolitana Paulista"
"35","3513","Vale do Paraíba Paulista"
"35","3514","Litoral Sul Paulista"
"35","3515","Metropolitana de São Paulo"
"41","4101","Noroeste Paranaense"
"41","4102","Centro Ocidental Paranaense"
"41","4103","Norte Central Paranaense"
"41","4104","Norte Pioneiro Paranaense"
"41","4105","Centro Oriental Paranaense"
"41","4106","Oeste Paranaense"
"41","4107","Sudoeste Paranaense"
"41","4108","Centro-Sul Paranaense"
"41","4109","Sudeste Paranaense"
"41","4110","Metropolitana de Curitiba"
"42","4201","Oeste Catarinense"
"42","4202","Norte Catarinense"
"42","4203","Serrana"
"42","4204","Vale do Itajaí"
"42","4205","Grande Florianópolis"
"42","4206","Sul Catarinense"
"43","4301","Noroeste Rio-grandense"
"43","4302","Nordeste Rio-grandense"
"43","4303","Centro Ocidental Rio-grandense"
"43","4304","Centro Oriental Rio-grandense"
"43","4305","Metropolitana de Porto Alegre"
"43","4306","Sudoeste Rio-grandense"
"43","4307","Sudeste Rio-grandense"
"50","5001","Pantanais Sul Mato-grossense"
"50","5002","Centro Norte de Mato Grosso do Sul"
"50","5003","Leste de Mato Grosso do Sul"
"50","5004","Sudoeste de Mato Grosso do Sul"
"51","5101","Norte Mato-grossense"
"51","5102","Nordeste Mato-grossense"
"51","5103","Sudoeste Mato-grossense"
"51","5104","Centro-Sul Mato-grossense"
"51","5105","Sudeste Mato-grossense"
"52","5201","Noroeste Goiano"
"52","5202","Norte Goiano"
"52","5203","Centro Goiano"
"52","5204","Leste Goiano"
"52","5205","Sul Goiano"
"53","5301","Distrito Federal"
